[ 2025-03-02 18:14:27,674 ] 19 root - INFO - Initiate the data ingestion
[ 2025-03-02 18:14:29,021 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-02 18:14:29,021 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-02 18:14:29,021 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-02 18:14:29,042 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-02 18:14:29,043 ] 22 root - INFO - Data Initiation Completed
[ 2025-03-02 18:14:29,045 ] 26 root - INFO - Initiate the data Validation
[ 2025-03-02 18:14:29,052 ] 32 root - INFO - Required number of columns:2
[ 2025-03-02 18:14:29,052 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-02 18:14:29,052 ] 32 root - INFO - Required number of columns:2
[ 2025-03-02 18:14:29,052 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-02 18:14:29,108 ] 28 root - INFO - data Validation Completed
[ 2025-03-02 18:14:29,108 ] 31 root - INFO - data Transformation started
[ 2025-03-02 18:14:29,108 ] 62 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-02 18:14:29,108 ] 64 root - INFO - Starting data transformation
[ 2025-03-02 18:14:29,115 ] 47 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-03-02 18:14:29,115 ] 52 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-02 18:14:29,118 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-02 18:14:29,119 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-02 18:14:29,119 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-02 18:14:29,120 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-02 18:14:29,120 ] 35 root - INFO - data Transformation completed
[ 2025-03-02 18:14:29,120 ] 38 root - INFO - Model Training sstared
[ 2025-03-02 18:16:00,768 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-02 18:16:00,779 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-02 18:16:00,779 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-02 18:16:00,788 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-02 18:16:00,788 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/03_02_2025_18_14_25/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9912059031638533, precision_score=0.9883088087079218, recall_score=0.9941200324412003), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9776876267748479, precision_score=0.9717741935483871, recall_score=0.9836734693877551))
[ 2025-03-02 18:16:00,790 ] 43 root - INFO - Model Training artifact created
