[ 2025-03-02 15:49:40,797 ] 16 root - INFO - Initiate the data ingestion
[ 2025-03-02 15:49:42,437 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-02 15:49:42,437 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-02 15:49:42,437 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-02 15:49:42,466 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-02 15:49:42,466 ] 19 root - INFO - Data Initiation Completed
[ 2025-03-02 15:49:42,469 ] 23 root - INFO - Initiate the data Validation
[ 2025-03-02 15:49:42,479 ] 32 root - INFO - Required number of columns:2
[ 2025-03-02 15:49:42,480 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-02 15:49:42,480 ] 32 root - INFO - Required number of columns:2
[ 2025-03-02 15:49:42,480 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-02 15:49:42,542 ] 25 root - INFO - data Validation Completed
[ 2025-03-02 15:49:42,542 ] 28 root - INFO - data Transformation started
[ 2025-03-02 15:49:42,542 ] 62 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-02 15:49:42,542 ] 64 root - INFO - Starting data transformation
[ 2025-03-02 15:49:42,550 ] 47 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-03-02 15:49:42,550 ] 52 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-02 15:49:42,554 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-02 15:49:42,556 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-02 15:49:42,556 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-02 15:49:42,558 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-02 15:49:42,558 ] 32 root - INFO - data Transformation completed
